,pool,best_b,best_b_apr,best_fee_apr,best_IL_apr,optimum_b_apr,optimum_fee_apr,optimum_IL_apr
0,COMP_WETH_10000_0815,0_35_epoc.csv,-0.312748192,0.018508887,-0.331257079,-0.115364404,0.008523387,-0.123887791
1,COMP_WETH_3000_0815,0_7_epoc.csv,0.466950666,0.02091066,-0.124065972,-0.902673411,0.360475671,-1.263149081
2,DAI_FEI_500_0815,0_05_epoc.csv,0.001419853,0.005726179,-0.004306326,0.001419853,0.005726179,-0.004306326
3,DAI_USDC_500_0815,0_05_epoc.csv,0.010091605,0.011048744,-0.000957139,0.010091605,0.011048744,-0.000957139
4,DAI_USDT_500_0815,0_05_epoc.csv,0.018046915,0.037715309,-0.019668394,0.018046915,0.037715309,-0.019668394
5,DAI_WETH_3000_0815,0_75_epoc.csv,0.306644313,0.047179954,-0.215602891,-0.768750419,0.408928118,-1.177678537
6,FEI_WETH_500_0815,0_45_epoc.csv,-0.021554032,0.001117105,-0.022671138,-0.044916724,0.002996879,-0.047913603
7,FLX_WETH_3000_0815,2_0_epoc.csv,2.392917706,0.038060219,2.354857487,-7.00820052,0.608389062,-7.616589582
8,LINK_WETH_3000_0815,0_65_epoc.csv,0.273913761,0.010956015,0.262957747,-0.035390574,0.213937972,-0.249328546
9,LQTY_WETH_3000_0815,1_0_epoc.csv,-1.673500274,0.126768718,-1.937670715,-25.55544666,3.717763331,-29.27320999
10,MKR_WETH_3000_0815,0_4_epoc.csv,0.276702973,0.039842029,-0.143350733,-0.428744446,0.202794376,-0.631538822
11,MKR_WETH_500_0815,0_3_epoc.csv,0.283965267,0.0078019,-0.303933053,-0.094897444,0.080994269,-0.175891713
12,POOL_WETH_3000_0815,0_6_epoc.csv,-0.49434045,0.033057354,-0.629326333,-3.680877926,0.40605469,-4.086932616
13,RAI_DAI_500_0815,0_15_epoc.csv,-0.053538819,0.135791236,-0.300932804,-0.200451208,0.167050774,-0.367501982
14,RAI_WETH_3000_0815,0_75_epoc.csv,0.141911734,0.022131273,-0.203767729,-1.745519172,0.28499646,-2.030515632
15,RAI_WETH_500_0815,0_05_epoc.csv,0,0,0,0,0,0
16,SOCKS_WETH_3000_0815,0_15_epoc.csv,0.03748436,0.008456075,-0.205829058,-0.099741509,0.01816275,-0.117904259
17,UNI_WETH_3000_0815,0_55_epoc.csv,0.363069652,0.0015,0.133830351,-0.027504541,0.085785639,-0.11329018
18,fish_WETH_10000_0815,1_05_epoc.csv,0.215137078,0.0015,-0.134724177,-1.768663768,0.10281005,-1.871473818